FileFieldId	FileId	FieldName	DataType	Validation	SparkColType	ColumnLength	Mandatory
217	10000	STATC_HIGHLY_ACTIVE	CHAR(2)	null	StringType()	2	FALSE
218	10000	OVR_AUTO_PAY_DAY	DECIMAL(2,0)	null	IntegerType()	2	FALSE
219	10000	ANN_FEE_RENEWAL_MONTH	DECIMAL(2,0)	null	IntegerType()	2	FALSE
220	10000	SAC	DECIMAL(4,0)	null	IntegerType()	4	FALSE
221	10000	CLIENT_ADDR_DIR	DECIMAL(4,0)	null	IntegerType()	4	FALSE
222	10000	SOLICITATION_NUMBER	DECIMAL(6,0)	null	IntegerType()	6	FALSE
223	10000	REISSUE_ACTN_POWER_LEVEL1	DECIMAL(2,0)	null	IntegerType()	2	FALSE
224	10000	REISSUE_ACTN_POWER_LEVEL2	DECIMAL(2,0)	null	IntegerType()	2	FALSE
225	10000	REISSUE_ACTN_POWER_LEVEL3	DECIMAL(2,0)	null	IntegerType()	2	FALSE
226	10000	REISSUE_ACTN_POWER_LEVEL4	DECIMAL(2,0)	null	IntegerType()	2	FALSE
227	10000	AUTH_EVAL_REASON	DECIMAL(4,0)	null	IntegerType()	4	FALSE
228	10000	INCURRENT_IND	CHAR(1)	null	StringType()	1	FALSE
229	10000	PRINT_ACCT_STATEMENT_IND	CHAR(1)	null	StringType()	1	FALSE
230	10000	STATC_MISC_TRANSFER	CHAR(2)	null	StringType()	2	FALSE
231	10000	OPER_FUTURE_CREDIT_LIMIT	CHAR(6)	null	StringType()	6	FALSE
232	10000	REISSUE_REINSTATEMENT_IND	CHAR(1)	null	StringType()	1	FALSE
233	10000	CR_BAL_REFUND_OVRIDE_IND	DECIMAL(1,0)	null	IntegerType()	1	FALSE
234	10000	CREDIT_BALANCE_REFUND_IND	CHAR(1)	null	StringType()	1	FALSE
235	10000	RECOVERY_TODAY_IND	CHAR(1)	null	StringType()	1	FALSE
236	10000	STATC_ICS	CHAR(2)	null	StringType()	2	FALSE
237	10000	DATE_REISSUE_SCHED_OVRIDE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
238	10000	DATE_POTENTIAL_PURGE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
239	10000	CHGOFF_REINSTATE_TDY_IND	CHAR(1)	null	StringType()	1	FALSE
240	10000	STANDARD_NOTICE_IND	CHAR(1)	null	StringType()	1	FALSE
241	10000	DATE_LAST_OD_MAINT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
242	10000	DATE_AUTOPAY_EFFECTIVE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
243	10000	DATE_PRIOR_REISSUE_ACTION	DECIMAL(7,0)	null	IntegerType()	7	FALSE
244	10000	DATE_ACCOUNT_OPEN	DECIMAL(7,0)	null	IntegerType()	7	FALSE
245	10000	DATE_LAST_MAINTENANCE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
246	10000	LIMIT_CREDIT	DECIMAL(11,0)	null	IntegerType()	11	FALSE
247	10000	LIMIT_ORIGINAL_CREDIT	DECIMAL(11,0)	null	IntegerType()	11	FALSE
248	10000	MONEY_AVAILABLE	DECIMAL(11,0)	null	IntegerType()	11	FALSE
249	10000	CASH_AVAILABLE	DECIMAL(11,0)	null	IntegerType()	11	FALSE
